obs_id,individual_id,group_id,obs_date,year,month,season,session_duration_min,foraging_rate_pct,agonistic_events,affiliation_events,nearest_neighbour_dist_m,observer_id
48,460,12,2019-02-01,2019,2,dry,46,40.9,1,1,28.4,OBS_03
49,460,12,2019-07-10,2019,7,dry,54,33.4,1,1,1.4,OBS_05
50,59,2,2013-12-19,2013,12,dry,63,48.5,3,2,6.9,OBS_06
51,59,2,2013-03-12,2013,3,wet,56,56.1,1,1,1.2,OBS_06
52,59,2,2013-07-27,2013,7,dry,43,47.8,2,1,4.1,OBS_06
53,181,5,2013-06-30,2013,6,dry,56,29.4,1,0,11.0,OBS_05
54,181,5,2013-06-20,2013,6,dry,59,37.9,5,0,1.0,OBS_03
55,181,5,2013-11-22,2013,11,wet,50,50.8,2,1,7.4,OBS_05
56,117,4,2023-03-17,2023,3,wet,57,50.0,0,1,1.5,OBS_06
57,117,4,2023-01-06,2023,1,dry,65,45.3,0,5,24.3,OBS_05
58,117,4,2023-05-30,2023,5,wet,52,58.3,0,7,10.2,OBS_07
59,117,4,2023-12-13,2023,12,dry,56,44.9,0,1,2.4,OBS_04
60,322,9,2018-07-30,2018,7,dry,53,31.8,1,1,14.0,OBS_07
61,322,9,2018-05-01,2018,5,wet,42,46.8,1,0,4.3,OBS_02
62,322,9,2018-09-04,2018,9,wet,61,37.4,2,1,6.6,OBS_07
63,322,9,2018-02-14,2018,2,dry,74,27.2,0,1,7.6,OBS_06
64,322,9,2018-04-19,2018,4,wet,47,49.9,4,1,4.6,OBS_02
65,322,9,2018-01-25,2018,1,dry,60,38.7,0,2,4.2,OBS_06
66,55,2,2016-05-08,2016,5,wet,66,52.8,1,1,0.2,OBS_01
67,55,2,2016-12-27,2016,12,dry,45,49.3,2,1,10.2,OBS_07
68,55,2,2016-08-03,2016,8,dry,53,48.2,1,1,0.1,OBS_03
69,55,2,2016-12-30,2016,12,dry,60,61.6,4,2,2.1,OBS_06
70,55,2,2016-01-27,2016,1,dry,67,50.9,2,1,4.7,OBS_01
71,55,2,2016-04-24,2016,4,wet,48,50.9,1,1,5.6,OBS_03
72,245,6,2016-06-08,2016,6,dry,65,53.1,3,0,0.3,OBS_02
73,245,6,2016-08-02,2016,8,dry,41,59.8,0,1,1.3,OBS_04
74,245,6,2016-08-12,2016,8,dry,45,61.2,0,2,0.4,OBS_07
75,245,6,2016-04-09,2016,4,wet,49,62.8,1,0,3.6,OBS_04
76,59,2,2016-12-25,2016,12,dry,40,47.9,2,0,2.8,OBS_01
77,59,2,2016-09-14,2016,9,wet,42,52.7,4,0,2.5,OBS_04
78,59,2,2016-09-10,2016,9,wet,45,54.6,1,0,4.7,OBS_06
79,59,2,2016-07-10,2016,7,dry,72,47.8,0,0,11.4,OBS_02
80,59,2,2016-07-17,2016,7,dry,26,45.6,1,2,6.1,OBS_07
81,225,6,2014-03-16,2014,3,wet,43,59.8,0,0,1.4,OBS_04
82,225,6,2014-03-28,2014,3,wet,53,55.9,1,5,10.1,OBS_04
83,225,6,2014-09-07,2014,9,wet,71,54.7,0,1,17.7,OBS_03
84,225,6,2014-07-07,2014,7,dry,43,39.6,0,5,9.4,OBS_07
85,107,3,2010-06-04,2010,6,dry,68,66.3,4,0,15.6,OBS_03
86,107,3,2010-11-22,2010,11,wet,46,71.3,2,0,11.6,OBS_01
87,107,3,2010-03-10,2010,3,wet,51,70.2,3,2,10.8,OBS_03
88,171,5,2022-07-22,2022,7,dry,70,35.6,1,5,18.1,OBS_02
89,171,5,2022-03-11,2022,3,wet,37,50.1,1,1,53.7,OBS_07
90,171,5,2022-01-15,2022,1,dry,53,32.2,3,2,3.4,OBS_07
91,171,5,2022-07-20,2022,7,dry,56,36.3,1,0,5.6,OBS_06
92,411,11,2015-12-27,2015,12,dry,58,40.3,0,2,4.6,OBS_04
93,411,11,2015-08-19,2015,8,dry,47,52.0,1,0,0.8,OBS_01
94,411,11,2015-08-16,2015,8,dry,70,49.9,3,0,1.4,OBS_06
95,411,11,2015-03-20,2015,3,wet,28,68.7,2,1,3.2,OBS_05
96,411,11,2015-06-23,2015,6,dry,43,45.9,1,0,11.2,OBS_03
97,171,5,2017-10-02,2017,10,wet,64,37.2,1,0,5.8,OBS_03
98,171,5,2017-04-16,2017,4,wet,55,47.8,0,0,0.6,OBS_04
99,171,5,2017-08-19,2017,8,dry,75,37.8,1,1,7.6,OBS_02
100,171,5,2017-04-04,2017,4,wet,52,46.3,1,0,5.3,OBS_06
101,171,5,2017-02-22,2017,2,dry,62,38.9,2,3,2.7,OBS_04
102,299,8,2016-06-26,2016,6,dry,57,69.5,0,3,4.3,OBS_07
103,299,8,2016-09-29,2016,9,wet,43,70.8,1,2,7.2,OBS_06
104,299,8,2016-03-09,2016,3,wet,66,75.5,1,2,0.1,OBS_06
105,299,8,2016-05-23,2016,5,wet,74,68.1,4,4,2.1,OBS_01
106,17,1,2014-10-08,2014,10,wet,58,55.5,1,4,0.3,OBS_06
107,17,1,2014-10-08,2014,10,wet,60,60.6,1,3,14.9,OBS_04
108,17,1,2014-06-01,2014,6,dry,34,46.2,2,5,19.0,OBS_07
109,17,1,2014-07-20,2014,7,dry,74,49.1,1,1,10.8,OBS_03
110,17,1,2014-10-10,2014,10,wet,68,64.0,0,0,2.3,OBS_06
111,466,12,2012-11-02,2012,11,wet,62,46.2,0,1,0.6,OBS_01
112,466,12,2012-02-11,2012,2,dry,71,32.6,0,1,4.2,OBS_06
113,466,12,2012-08-21,2012,8,dry,59,38.6,1,4,1.6,OBS_07
114,466,12,2012-04-05,2012,4,wet,33,55.7,0,2,33.7,OBS_07
115,466,12,2012-11-10,2012,11,wet,55,52.5,1,3,9.8,OBS_04
116,466,12,2012-02-13,2012,2,dry,60,44.6,1,4,3.7,OBS_04
117,466,12,2015-06-17,2015,6,dry,78,62.1,0,1,7.9,OBS_06
118,466,12,2015-05-01,2015,5,wet,64,59.2,0,4,11.9,OBS_04
119,466,12,2015-05-07,2015,5,wet,40,66.6,0,0,6.4,OBS_04
120,2,1,2015-02-14,2015,2,dry,55,39.3,2,2,14.1,OBS_05
121,2,1,2015-11-08,2015,11,wet,55,47.0,2,1,0.7,OBS_06
122,2,1,2015-10-13,2015,10,wet,57,43.9,2,0,0.2,OBS_03
123,2,1,2015-08-08,2015,8,dry,62,37.0,1,1,8.9,OBS_06
124,330,9,2018-04-29,2018,4,wet,56,44.9,2,0,11.4,OBS_03
125,330,9,2018-08-14,2018,8,dry,49,41.2,1,1,18.7,OBS_02
126,330,9,2018-02-16,2018,2,dry,71,40.6,0,2,10.3,OBS_03
127,330,9,2018-06-19,2018,6,dry,66,44.7,0,0,5.1,OBS_04
128,456,12,2017-03-23,2017,3,wet,41,60.2,2,1,25.3,OBS_03
129,456,12,2017-09-18,2017,9,wet,62,52.4,1,0,2.0,OBS_01
130,456,12,2017-09-08,2017,9,wet,48,65.0,0,1,30.1,OBS_07
131,456,12,2017-12-28,2017,12,dry,64,47.6,2,1,5.3,OBS_02
132,456,12,2017-11-25,2017,11,wet,58,60.1,2,0,2.5,OBS_01
133,456,12,2017-02-16,2017,2,dry,73,46.3,1,0,4.9,OBS_07
134,305,8,2020-01-16,2020,1,dry,38,33.1,0,2,11.1,OBS_06
135,305,8,2020-09-10,2020,9,wet,57,42.3,2,0,2.5,OBS_01
136,305,8,2020-12-09,2020,12,dry,41,41.2,1,0,1.9,OBS_07
137,305,8,2020-11-28,2020,11,wet,75,50.0,0,0,53.3,OBS_06
138,454,12,2020-10-04,2020,10,wet,69,32.6,0,5,2.4,OBS_06
139,454,12,2020-02-24,2020,2,dry,62,30.8,1,3,12.0,OBS_07
140,454,12,2020-07-02,2020,7,dry,51,34.8,0,4,11.8,OBS_01
141,252,6,2020-04-02,2020,4,wet,59,64.8,2,1,6.3,OBS_01
142,252,6,2020-04-30,2020,4,wet,54,58.7,2,1,8.6,OBS_03
143,252,6,2020-10-25,2020,10,wet,36,61.4,0,1,36.8,OBS_04
144,252,6,2020-06-13,2020,6,dry,52,38.7,0,4,9.3,OBS_02
145,252,6,2020-03-20,2020,3,wet,54,59.3,1,0,1.7,OBS_04
146,173,5,2011-12-23,2011,12,dry,51,40.9,0,3,8.1,OBS_07
147,173,5,2011-07-18,2011,7,dry,51,40.7,2,3,19.4,OBS_04
148,173,5,2011-10-06,2011,10,wet,56,50.3,1,3,11.5,OBS_05
149,173,5,2011-04-21,2011,4,wet,62,43.1,1,1,0.2,OBS_02
150,224,6,2010-02-27,2010,2,dry,63,32.2,0,0,7.1,OBS_02
151,224,6,2010-08-02,2010,8,dry,55,41.4,0,1,2.8,OBS_04
152,224,6,2010-11-12,2010,11,wet,64,40.7,1,0,8.2,OBS_04
153,224,6,2010-05-20,2010,5,wet,51,58.5,1,2,29.4,OBS_02
154,224,6,2010-09-07,2010,9,wet,46,43.1,1,1,3.9,OBS_02
155,175,5,2015-11-28,2015,11,wet,40,55.8,1,2,7.0,OBS_05
156,175,5,2015-08-27,2015,8,dry,68,38.5,1,1,6.8,OBS_04
157,175,5,2015-08-15,2015,8,dry,74,37.4,2,0,13.5,OBS_02
158,285,7,2016-10-26,2016,10,wet,47,53.1,1,2,12.6,OBS_07
159,285,7,2016-03-14,2016,3,wet,36,57.5,0,4,21.1,OBS_02
160,285,7,2016-09-03,2016,9,wet,36,61.5,1,3,11.6,OBS_06
161,285,7,2016-09-29,2016,9,wet,71,50.6,0,6,0.3,OBS_04
162,282,7,2014-09-09,2014,9,wet,54,50.3,0,2,4.3,OBS_07
163,282,7,2014-11-16,2014,11,wet,43,44.5,2,3,6.4,OBS_03
164,282,7,2014-10-12,2014,10,wet,57,51.3,2,1,23.8,OBS_03
165,282,7,2014-06-06,2014,6,dry,59,32.5,2,2,3.8,OBS_06
166,282,7,2014-09-24,2014,9,wet,67,45.5,3,0,5.3,OBS_03
167,165,5,2023-06-19,2023,6,dry,62,29.0,1,2,14.4,OBS_06
168,165,5,2023-08-21,2023,8,dry,59,34.0,0,1,7.3,OBS_03
169,165,5,2023-09-05,2023,9,wet,75,42.6,0,1,23.9,OBS_05
170,165,5,2023-11-20,2023,11,wet,47,44.3,1,2,0.2,OBS_04
171,165,5,2023-12-04,2023,12,dry,60,37.0,1,2,3.2,OBS_01
172,165,5,2023-11-01,2023,11,wet,73,44.3,0,0,15.2,OBS_03
173,187,5,2018-06-08,2018,6,dry,63,42.4,1,2,0.4,OBS_07
174,187,5,2018-09-16,2018,9,wet,51,49.7,1,1,32.2,OBS_05
175,187,5,2018-09-27,2018,9,wet,66,59.3,0,1,2.3,OBS_02
176,187,5,2018-07-04,2018,7,dry,26,48.7,0,2,0.6,OBS_06
177,187,5,2018-05-14,2018,5,wet,46,48.5,1,2,2.8,OBS_07
178,27,1,2018-09-02,2018,9,wet,49,52.7,5,1,7.8,OBS_05
179,27,1,2018-12-09,2018,12,dry,63,36.1,2,4,1.2,OBS_07
180,27,1,2018-11-02,2018,11,wet,45,49.0,1,3,4.2,OBS_04
181,222,6,2013-08-23,2013,8,dry,84,46.6,3,4,0.6,OBS_03
182,222,6,2013-09-24,2013,9,wet,41,56.1,0,2,0.6,OBS_05
183,222,6,2013-08-25,2013,8,dry,48,49.1,2,1,2.0,OBS_01
184,111,3,2017-11-28,2017,11,wet,38,57.5,1,6,23.3,OBS_04
185,111,3,2017-12-16,2017,12,dry,68,48.4,2,2,19.4,OBS_05
186,111,3,2017-06-24,2017,6,dry,50,38.9,0,4,6.5,OBS_04
187,111,3,2017-08-02,2017,8,dry,71,34.5,0,4,30.9,OBS_01
188,111,3,2017-04-13,2017,4,wet,64,61.5,1,3,13.0,OBS_06
189,180,5,2015-09-25,2015,9,wet,54,49.1,1,2,7.6,OBS_07
190,180,5,2015-10-06,2015,10,wet,38,47.9,0,4,0.7,OBS_06
191,180,5,2015-03-31,2015,3,wet,78,52.0,1,2,22.0,OBS_01
192,180,5,2015-07-08,2015,7,dry,39,40.6,0,0,5.5,OBS_05
193,416,11,2022-11-06,2022,11,wet,68,54.1,1,2,12.6,OBS_02
194,416,11,2022-12-03,2022,12,dry,53,30.5,0,3,18.0,OBS_02
195,416,11,2022-09-02,2022,9,wet,58,56.5,0,0,2.1,OBS_02
196,416,11,2022-02-27,2022,2,dry,70,38.7,2,3,13.8,OBS_04
197,407,10,2023-09-12,2023,9,wet,64,42.1,0,6,5.9,OBS_04
198,407,10,2023-10-30,2023,10,wet,54,47.1,1,5,11.2,OBS_02
199,407,10,2023-03-04,2023,3,wet,63,48.9,0,4,6.9,OBS_04
200,257,6,2023-02-28,2023,2,dry,64,30.5,1,0,13.5,OBS_06
201,257,6,2023-10-16,2023,10,wet,44,53.7,1,4,3.0,OBS_03
202,257,6,2023-03-02,2023,3,wet,30,55.0,0,2,6.6,OBS_02
203,285,7,2011-08-25,2011,8,dry,62,24.2,0,4,16.8,OBS_05
204,285,7,2011-02-09,2011,2,dry,46,37.9,0,2,2.8,OBS_04
205,285,7,2011-05-15,2011,5,wet,54,50.2,1,3,9.2,OBS_02
206,285,7,2011-09-01,2011,9,wet,55,49.6,0,5,10.3,OBS_02
207,285,7,2011-05-23,2011,5,wet,50,53.4,1,10,2.2,OBS_01
208,285,7,2011-01-29,2011,1,dry,68,31.5,0,4,3.7,OBS_07
209,285,7,2017-07-10,2017,7,dry,54,21.6,0,1,11.4,OBS_05
210,285,7,2017-01-06,2017,1,dry,62,25.3,0,2,6.1,OBS_01
211,285,7,2017-06-28,2017,6,dry,45,26.8,0,4,1.7,OBS_04
212,285,7,2017-05-21,2017,5,wet,71,39.5,1,1,10.3,OBS_07
213,285,7,2017-08-12,2017,8,dry,59,30.3,1,1,0.0,OBS_03
214,24,1,2020-02-01,2020,2,dry,66,47.3,0,3,15.9,OBS_05
215,24,1,2020-12-22,2020,12,dry,59,48.2,1,2,12.1,OBS_06
216,24,1,2020-11-20,2020,11,wet,42,62.3,0,3,8.3,OBS_03
217,24,1,2020-02-16,2020,2,dry,51,38.3,1,2,1.8,OBS_03
218,16,1,2021-02-13,2021,2,dry,62,50.3,0,2,12.8,OBS_01
219,16,1,2021-09-14,2021,9,wet,57,59.6,0,5,21.1,OBS_06
220,16,1,2021-09-12,2021,9,wet,49,59.8,0,6,0.9,OBS_07
221,16,1,2021-01-07,2021,1,dry,43,48.1,2,2,19.8,OBS_05
222,16,1,2021-06-27,2021,6,dry,46,42.8,1,5,0.7,OBS_07
223,427,11,2021-01-19,2021,1,dry,59,24.5,0,1,9.9,OBS_03
224,427,11,2021-01-10,2021,1,dry,60,20.6,1,2,1.7,OBS_04
225,427,11,2021-06-15,2021,6,dry,52,32.0,1,0,6.3,OBS_03
226,427,11,2021-01-21,2021,1,dry,64,28.6,2,3,21.0,OBS_05
227,427,11,2021-09-03,2021,9,wet,46,31.9,1,1,0.9,OBS_03
228,427,11,2021-06-21,2021,6,dry,63,24.5,1,2,21.6,OBS_06
229,27,1,2017-09-07,2017,9,wet,56,60.8,1,1,3.5,OBS_01
230,27,1,2017-08-13,2017,8,dry,73,49.2,2,1,2.6,OBS_01
231,27,1,2017-03-13,2017,3,wet,34,55.8,0,1,5.9,OBS_01
232,203,5,2019-11-20,2019,11,wet,55,46.6,1,0,8.7,OBS_05
233,203,5,2019-11-22,2019,11,wet,56,52.8,0,2,21.7,OBS_02
234,203,5,2019-09-17,2019,9,wet,48,42.1,1,1,0.7,OBS_05
235,203,5,2019-12-19,2019,12,dry,54,48.4,2,2,9.7,OBS_06
236,137,4,2018-07-30,2018,7,dry,55,24.4,2,0,3.1,OBS_04
237,137,4,2018-09-12,2018,9,wet,63,30.8,0,5,8.8,OBS_04
238,137,4,2018-05-26,2018,5,wet,48,33.6,1,4,0.2,OBS_06
239,475,12,2019-01-20,2019,1,dry,46,39.3,1,3,7.3,OBS_04
240,475,12,2019-11-05,2019,11,wet,61,46.1,2,0,17.2,OBS_07
241,475,12,2019-10-21,2019,10,wet,39,54.7,3,1,3.0,OBS_07
242,475,12,2019-03-03,2019,3,wet,73,48.8,1,1,4.9,OBS_05
243,475,12,2019-09-09,2019,9,wet,32,45.6,3,3,11.3,OBS_04
244,475,12,2019-03-02,2019,3,wet,59,51.2,3,0,6.4,OBS_06
245,234,6,2018-05-13,2018,5,wet,55,26.8,4,1,11.8,OBS_04
246,234,6,2018-02-21,2018,2,dry,59,14.5,1,0,4.7,OBS_06
247,234,6,2018-11-25,2018,11,wet,57,32.5,1,0,0.2,OBS_01
248,234,6,2018-07-08,2018,7,dry,30,22.4,3,0,0.4,OBS_05
249,234,6,2018-07-02,2018,7,dry,49,20.6,2,0,2.9,OBS_02
250,234,6,2018-01-11,2018,1,dry,84,10.0,1,0,13.6,OBS_06
251,476,12,2011-08-11,2011,8,dry,58,51.4,2,0,8.5,OBS_03
252,476,12,2011-01-11,2011,1,dry,73,51.5,2,3,11.5,OBS_02
253,476,12,2011-01-05,2011,1,dry,42,59.9,1,0,0.3,OBS_03
254,476,12,2011-10-25,2011,10,wet,38,60.1,1,0,5.9,OBS_04
255,476,12,2011-08-22,2011,8,dry,51,50.5,1,0,6.1,OBS_01
256,54,2,2015-10-22,2015,10,wet,49,50.1,1,2,1.7,OBS_06
257,54,2,2015-01-30,2015,1,dry,42,25.3,0,7,6.1,OBS_01
258,54,2,2015-10-06,2015,10,wet,42,44.0,0,3,0.5,OBS_01
259,126,4,2011-08-08,2011,8,dry,67,36.3,2,1,5.5,OBS_06
260,126,4,2011-11-14,2011,11,wet,44,46.7,0,0,1.8,OBS_04
261,126,4,2011-03-22,2011,3,wet,32,39.7,2,0,7.7,OBS_06
262,126,4,2011-02-14,2011,2,dry,84,30.5,2,2,4.1,OBS_07
263,126,4,2011-12-09,2011,12,dry,68,39.0,0,2,4.2,OBS_01
264,126,4,2011-10-07,2011,10,wet,53,52.3,1,1,0.8,OBS_04
265,445,11,2023-09-20,2023,9,wet,54,49.0,1,1,3.2,OBS_07
266,445,11,2023-09-17,2023,9,wet,47,58.6,0,4,12.9,OBS_03
267,445,11,2023-05-13,2023,5,wet,43,59.9,0,4,0.8,OBS_04
268,445,11,2023-02-08,2023,2,dry,37,38.9,1,4,1.8,OBS_02
269,496,12,2023-01-09,2023,1,dry,57,31.6,0,0,2.4,OBS_07
270,496,12,2023-08-23,2023,8,dry,63,17.3,2,2,14.6,OBS_04
271,496,12,2023-03-16,2023,3,wet,84,42.7,1,1,3.9,OBS_07
272,496,12,2023-09-01,2023,9,wet,73,49.4,2,2,4.7,OBS_06
273,42,1,2020-02-17,2020,2,dry,58,44.2,1,1,7.6,OBS_05
274,42,1,2020-06-25,2020,6,dry,64,44.0,0,1,5.5,OBS_04
275,42,1,2020-03-04,2020,3,wet,43,54.7,0,1,3.6,OBS_01
276,355,9,2021-11-30,2021,11,wet,75,46.6,1,0,1.8,OBS_03
277,355,9,2021-10-22,2021,10,wet,54,43.2,1,2,10.3,OBS_01
278,355,9,2021-04-06,2021,4,wet,35,55.2,1,3,3.9,OBS_07
279,120,4,2019-05-30,2019,5,wet,61,53.9,1,4,15.4,OBS_07
280,120,4,2019-07-06,2019,7,dry,55,43.4,0,1,3.8,OBS_06
281,120,4,2019-01-23,2019,1,dry,41,59.0,0,4,2.1,OBS_04
282,120,4,2019-09-03,2019,9,wet,56,57.0,3,3,2.6,OBS_02
283,246,6,2016-12-29,2016,12,dry,44,52.4,0,4,5.8,OBS_04
284,246,6,2016-10-03,2016,10,wet,61,63.1,0,4,0.0,OBS_04
285,246,6,2016-06-17,2016,6,dry,40,60.4,0,5,5.8,OBS_02
286,246,6,2016-10-08,2016,10,wet,45,73.0,1,4,9.1,OBS_05
287,246,6,2016-08-30,2016,8,dry,49,53.0,0,3,13.8,OBS_06
288,246,6,2016-02-24,2016,2,dry,53,60.6,0,1,33.0,OBS_01
289,8,1,2017-06-16,2017,6,dry,40,42.7,1,3,3.3,OBS_02
290,8,1,2017-02-26,2017,2,dry,65,36.8,1,7,8.1,OBS_04
291,8,1,2017-01-07,2017,1,dry,59,44.8,1,2,7.9,OBS_06
292,325,9,2021-01-13,2021,1,dry,50,46.8,1,1,3.4,OBS_03
293,325,9,2021-08-13,2021,8,dry,62,47.0,0,1,0.1,OBS_07
294,325,9,2021-04-30,2021,4,wet,43,50.4,0,3,2.7,OBS_06
295,325,9,2021-12-10,2021,12,dry,43,46.1,0,3,9.9,OBS_06
296,325,9,2021-12-17,2021,12,dry,73,42.1,0,0,2.2,OBS_06
297,325,9,2021-06-30,2021,6,dry,50,34.0,1,4,6.5,OBS_02
298,116,4,2014-10-09,2014,10,wet,51,37.1,2,1,8.7,OBS_04
299,116,4,2014-04-29,2014,4,wet,72,44.3,3,1,12.1,OBS_02
300,116,4,2014-09-06,2014,9,wet,50,42.9,2,1,0.8,OBS_01
301,116,4,2014-01-17,2014,1,dry,83,38.5,0,3,1.9,OBS_06
302,116,4,2014-04-18,2014,4,wet,56,40.6,2,1,7.8,OBS_05
303,116,4,2014-11-23,2014,11,wet,77,33.5,0,1,35.6,OBS_04
304,345,9,2014-11-05,2014,11,wet,61,47.3,0,2,0.7,OBS_02
305,345,9,2014-07-28,2014,7,dry,49,39.4,2,4,0.5,OBS_02
306,345,9,2014-08-09,2014,8,dry,45,48.1,2,1,25.9,OBS_07
307,345,9,2014-08-07,2014,8,dry,53,44.3,2,2,1.1,OBS_06
308,345,9,2014-09-24,2014,9,wet,68,53.7,2,2,1.5,OBS_06
309,492,12,2018-01-21,2018,1,dry,47,25.9,2,0,22.4,OBS_04
310,492,12,2018-12-12,2018,12,dry,61,25.2,0,1,3.2,OBS_06
311,492,12,2018-04-07,2018,4,wet,60,36.6,2,2,16.8,OBS_06
312,492,12,2018-06-06,2018,6,dry,68,31.0,1,2,7.2,OBS_04
313,492,12,2018-12-06,2018,12,dry,55,26.4,3,0,8.9,OBS_04
314,426,11,2023-08-12,2023,8,dry,34,41.7,3,1,6.4,OBS_03
315,426,11,2023-07-18,2023,7,dry,39,32.5,1,2,10.3,OBS_06
316,426,11,2023-06-01,2023,6,dry,47,31.9,2,1,14.1,OBS_07
317,426,11,2023-12-07,2023,12,dry,68,38.3,1,1,3.5,OBS_06
318,426,11,2023-04-03,2023,4,wet,52,53.1,1,3,4.0,OBS_07
319,426,11,2023-09-12,2023,9,wet,48,43.2,1,1,7.9,OBS_03
320,11,1,2016-03-10,2016,3,wet,51,66.1,0,1,1.3,OBS_04
321,11,1,2016-06-20,2016,6,dry,47,54.3,1,4,6.5,OBS_07
322,11,1,2016-09-09,2016,9,wet,53,59.6,0,2,9.9,OBS_07
323,11,1,2016-05-11,2016,5,wet,55,51.2,0,1,0.4,OBS_02
324,11,1,2016-06-30,2016,6,dry,35,50.4,0,2,14.4,OBS_01
325,124,4,2022-04-22,2022,4,wet,59,47.8,0,0,0.7,OBS_01
326,124,4,2022-08-13,2022,8,dry,20,37.6,1,1,23.6,OBS_06
327,124,4,2022-02-23,2022,2,dry,60,24.6,2,2,14.3,OBS_05
328,105,3,2010-03-03,2010,3,wet,62,48.3,1,0,3.8,OBS_06
329,105,3,2010-02-17,2010,2,dry,23,38.4,1,1,10.6,OBS_05
330,105,3,2010-08-24,2010,8,dry,61,51.1,1,1,4.7,OBS_05
331,437,11,2023-06-16,2023,6,dry,49,27.3,0,2,1.2,OBS_06
332,437,11,2023-06-19,2023,6,dry,55,34.4,2,2,13.1,OBS_02
333,437,11,2023-07-11,2023,7,dry,71,35.1,3,1,2.1,OBS_03
334,437,11,2023-06-11,2023,6,dry,53,33.1,4,2,5.6,OBS_03
335,332,9,2011-03-17,2011,3,wet,51,52.9,0,1,23.3,OBS_04
336,332,9,2011-12-05,2011,12,dry,42,41.6,1,0,2.9,OBS_04
337,332,9,2011-01-10,2011,1,dry,46,40.5,0,3,6.8,OBS_06
