individual_id,group_id,group_name,year,age,sex,dominance_rank,forage_pct,rest_pct,social_pct,travel_pct,body_condition_score,survived_next_year,group_size,n_silverbacks,n_blackbacks,n_adult_females,n_juveniles,n_infants,multi_male_group,habitat_quality_score,annual_rainfall_mm,lagged_rainfall_mm,n_obs_sessions,mean_foraging_pct,mean_agonistic,mean_affiliation,mean_nn_dist_m,n_wet_sessions,n_dry_sessions
281,7,Agashya,2012,7,F,1,37.8,27.0,8.6,26.6,3.04,1,6,2,0,2,1,1,1,4.46,1035.6,969.9,6.0,39.2,0.67,2.5,6.33,3.0,3.0
281,7,Agashya,2013,8,F,2,55.2,36.0,16.1,0.0,3.01,1,7,2,1,3,0,1,1,4.46,1019.0,1035.6,3.0,52.33,0.33,2.33,14.37,1.0,2.0
281,7,Agashya,2014,9,F,2,38.2,24.1,11.0,26.7,3.19,1,5,2,0,2,1,0,1,4.46,1061.7,1019.0,,,,,,,
281,7,Agashya,2015,10,F,1,26.9,29.4,21.9,21.8,3.19,1,6,2,0,2,2,0,1,4.46,1342.4,1061.7,6.0,22.53,0.5,3.17,14.53,0.0,6.0
281,7,Agashya,2016,11,F,1,44.0,25.6,10.9,19.5,3.87,1,5,2,0,1,2,0,1,4.46,1384.6,1342.4,,,,,,,
281,7,Agashya,2017,12,F,1,42.5,32.0,11.9,13.6,3.94,1,4,2,0,1,1,0,1,4.46,1041.6,1384.6,,,,,,,
281,7,Agashya,2018,13,F,1,26.1,21.7,16.3,35.9,2.62,1,3,2,0,1,0,0,1,4.46,1118.3,1041.6,,,,,,,
281,7,Agashya,2019,14,F,1,53.2,29.5,16.8,0.5,3.83,1,3,2,0,1,0,0,1,4.46,1076.1,1118.3,5.0,51.3,0.4,2.4,14.02,3.0,2.0
281,7,Agashya,2020,15,F,1,55.5,21.9,16.5,6.1,3.73,1,3,2,0,1,0,0,1,4.46,1029.6,1076.1,6.0,51.45,0.33,2.5,13.32,1.0,5.0
281,7,Agashya,2021,16,F,1,43.3,25.4,19.8,11.5,2.93,1,2,2,0,1,0,0,1,4.46,1072.1,1029.6,6.0,41.67,1.17,2.67,9.42,2.0,4.0
281,7,Agashya,2022,17,F,1,64.0,28.9,10.4,0.0,2.44,1,2,2,0,1,0,0,1,4.46,1046.1,1072.1,5.0,69.62,0.6,3.6,7.16,3.0,2.0
281,7,Agashya,2023,18,F,1,47.4,29.8,22.4,0.4,3.55,1,2,2,0,1,0,0,1,4.46,1162.7,1046.1,,,,,,,
282,7,Agashya,2010,2,M,5,49.0,34.6,16.0,0.4,2.69,1,8,2,0,3,2,1,1,4.46,1133.2,,5.0,47.06,1.0,1.0,5.46,2.0,3.0
282,7,Agashya,2011,3,M,6,57.2,32.6,11.2,0.0,2.74,1,8,2,0,3,2,1,1,4.46,969.9,1133.2,,,,,,,
282,7,Agashya,2012,4,M,7,37.1,32.0,14.8,16.1,3.41,1,6,2,0,2,1,1,1,4.46,1035.6,969.9,,,,,,,
282,7,Agashya,2013,5,M,3,52.6,29.3,14.3,3.8,3.69,1,7,2,1,3,0,1,1,4.46,1019.0,1035.6,4.0,50.85,2.25,1.5,5.75,2.0,2.0
282,7,Agashya,2014,6,M,6,45.1,27.0,14.7,13.2,2.58,1,5,2,0,2,1,0,1,4.46,1061.7,1019.0,5.0,44.82,1.8,1.6,8.72,4.0,1.0
282,7,Agashya,2015,7,M,4,31.1,32.0,15.6,21.3,2.23,1,6,2,0,2,2,0,1,4.46,1342.4,1061.7,3.0,29.8,1.0,1.33,5.1,2.0,1.0
282,7,Agashya,2016,8,M,5,40.8,34.6,9.0,15.6,3.46,1,5,2,0,1,2,0,1,4.46,1384.6,1342.4,3.0,45.17,1.67,0.67,2.53,2.0,1.0
282,7,Agashya,2017,9,M,4,46.4,25.0,20.9,7.7,4.26,1,4,2,0,1,1,0,1,4.46,1041.6,1384.6,3.0,45.2,2.0,0.67,6.8,1.0,2.0
282,7,Agashya,2018,10,M,4,43.4,20.4,16.1,20.1,2.02,1,3,2,0,1,0,0,1,4.46,1118.3,1041.6,5.0,40.6,1.2,1.0,11.14,2.0,3.0
282,7,Agashya,2019,11,M,7,33.2,32.1,10.3,24.4,3.48,1,3,2,0,1,0,0,1,4.46,1076.1,1118.3,4.0,27.02,2.5,0.25,6.28,1.0,3.0
282,7,Agashya,2020,12,M,2,41.6,30.5,14.9,13.0,2.93,1,3,2,0,1,0,0,1,4.46,1029.6,1076.1,6.0,43.12,0.83,1.5,7.47,4.0,2.0
282,7,Agashya,2021,13,M,1,51.0,29.8,11.8,7.4,2.74,1,2,2,0,1,0,0,1,4.46,1072.1,1029.6,,,,,,,
282,7,Agashya,2022,14,M,1,56.9,25.9,14.4,2.8,3.26,1,2,2,0,1,0,0,1,4.46,1046.1,1072.1,3.0,58.37,1.0,1.0,4.5,1.0,2.0
282,7,Agashya,2023,15,M,1,39.6,37.9,11.6,10.9,3.66,1,2,2,0,1,0,0,1,4.46,1162.7,1046.1,5.0,40.24,2.0,1.4,13.98,2.0,3.0
283,7,Agashya,2010,0,M,6,53.8,24.8,14.3,7.1,2.9,1,8,2,0,3,2,1,1,4.46,1133.2,,5.0,52.98,1.8,1.6,9.08,1.0,4.0
283,7,Agashya,2011,1,M,4,38.4,25.5,17.0,19.1,4.34,1,8,2,0,3,2,1,1,4.46,969.9,1133.2,6.0,31.92,1.83,1.5,5.22,1.0,5.0
283,7,Agashya,2012,2,M,4,43.5,29.1,14.1,13.3,2.91,0,6,2,0,2,1,1,1,4.46,1035.6,969.9,,,,,,,
284,7,Agashya,2010,10,F,1,49.5,36.4,10.7,3.4,2.45,1,8,2,0,3,2,1,1,4.46,1133.2,,6.0,54.53,0.5,1.5,5.28,5.0,1.0
284,7,Agashya,2011,11,F,2,54.6,20.8,22.2,2.4,3.93,1,8,2,0,3,2,1,1,4.46,969.9,1133.2,,,,,,,
284,7,Agashya,2012,12,F,1,48.0,33.9,8.0,10.1,3.34,1,6,2,0,2,1,1,1,4.46,1035.6,969.9,,,,,,,
284,7,Agashya,2013,13,F,1,52.3,26.5,11.5,9.7,3.07,1,7,2,1,3,0,1,1,4.46,1019.0,1035.6,3.0,56.9,1.0,2.67,14.13,2.0,1.0
284,7,Agashya,2014,14,F,2,40.9,30.4,9.4,19.3,4.0,1,5,2,0,2,1,0,1,4.46,1061.7,1019.0,,,,,,,
284,7,Agashya,2015,15,F,1,48.7,26.8,10.9,13.6,3.67,1,6,2,0,2,2,0,1,4.46,1342.4,1061.7,6.0,53.43,0.33,1.83,11.12,4.0,2.0
284,7,Agashya,2016,16,F,1,40.5,40.0,19.3,0.2,3.28,1,5,2,0,1,2,0,1,4.46,1384.6,1342.4,3.0,44.27,0.33,1.33,12.77,3.0,0.0
284,7,Agashya,2017,17,F,1,50.6,37.0,13.2,0.0,3.25,1,4,2,0,1,1,0,1,4.46,1041.6,1384.6,,,,,,,
284,7,Agashya,2018,18,F,1,42.4,24.5,4.4,28.7,2.26,1,3,2,0,1,0,0,1,4.46,1118.3,1041.6,5.0,39.0,0.4,2.2,6.4,1.0,4.0
284,7,Agashya,2019,19,F,1,35.8,35.4,13.0,15.8,3.74,1,3,2,0,1,0,0,1,4.46,1076.1,1118.3,5.0,35.74,0.4,2.8,7.52,2.0,3.0
284,7,Agashya,2020,20,F,1,35.5,42.3,15.2,7.0,3.69,1,3,2,0,1,0,0,1,4.46,1029.6,1076.1,6.0,38.33,1.0,2.0,13.08,3.0,3.0
284,7,Agashya,2021,21,F,1,46.5,25.7,15.2,12.6,4.18,1,2,2,0,1,0,0,1,4.46,1072.1,1029.6,6.0,45.12,0.33,1.83,9.3,2.0,4.0
284,7,Agashya,2022,22,F,1,48.7,24.9,15.5,10.9,3.28,1,2,2,0,1,0,0,1,4.46,1046.1,1072.1,,,,,,,
284,7,Agashya,2023,23,F,1,49.9,30.5,17.2,2.4,3.07,0,2,2,0,1,0,0,1,4.46,1162.7,1046.1,4.0,53.08,0.5,3.5,7.55,2.0,2.0
285,7,Agashya,2010,18,F,1,59.9,27.4,13.9,0.0,3.85,1,8,2,0,3,2,1,1,4.46,1133.2,,,,,,,,
285,7,Agashya,2011,19,F,1,41.6,34.3,14.3,9.8,2.56,1,8,2,0,3,2,1,1,4.46,969.9,1133.2,6.0,41.13,0.33,4.67,7.5,3.0,3.0
285,7,Agashya,2012,20,F,1,46.8,29.0,15.8,8.4,3.62,1,6,2,0,2,1,1,1,4.46,1035.6,969.9,,,,,,,
285,7,Agashya,2013,21,F,3,40.0,28.3,19.1,12.6,3.54,1,7,2,1,3,0,1,1,4.46,1019.0,1035.6,4.0,37.98,1.0,1.5,8.18,1.0,3.0
285,7,Agashya,2014,22,F,2,47.1,37.9,17.3,0.0,3.05,1,5,2,0,2,1,0,1,4.46,1061.7,1019.0,5.0,45.4,0.6,3.2,3.54,3.0,2.0
285,7,Agashya,2015,23,F,2,49.7,34.0,17.2,0.0,2.43,1,6,2,0,2,2,0,1,4.46,1342.4,1061.7,,,,,,,
285,7,Agashya,2016,24,F,1,45.4,31.0,7.5,16.1,3.51,1,5,2,0,1,2,0,1,4.46,1384.6,1342.4,4.0,55.67,0.5,3.75,11.4,4.0,0.0
285,7,Agashya,2017,25,F,1,29.6,32.2,15.1,23.1,3.05,1,4,2,0,1,1,0,1,4.46,1041.6,1384.6,5.0,28.7,0.4,1.8,5.9,1.0,4.0
285,7,Agashya,2018,26,F,1,32.1,34.6,18.2,15.1,2.5,1,3,2,0,1,0,0,1,4.46,1118.3,1041.6,4.0,33.02,1.25,4.5,3.58,2.0,2.0
285,7,Agashya,2019,27,F,1,52.6,34.9,15.0,0.0,2.5,1,3,2,0,1,0,0,1,4.46,1076.1,1118.3,,,,,,,
285,7,Agashya,2020,28,F,1,42.1,28.5,15.2,14.2,2.78,1,3,2,0,1,0,0,1,4.46,1029.6,1076.1,6.0,43.43,0.5,2.83,6.22,3.0,3.0
285,7,Agashya,2021,29,F,1,47.3,28.4,13.9,10.4,2.66,1,2,2,0,1,0,0,1,4.46,1072.1,1029.6,4.0,44.48,0.5,2.5,6.42,2.0,2.0
285,7,Agashya,2022,30,F,1,38.2,30.7,17.7,13.4,3.8,1,2,2,0,1,0,0,1,4.46,1046.1,1072.1,,,,,,,
285,7,Agashya,2023,31,F,1,21.7,21.3,18.1,38.9,3.87,1,2,2,0,1,0,0,1,4.46,1162.7,1046.1,,,,,,,
286,7,Agashya,2012,0,M,5,53.0,33.0,16.4,0.0,4.24,1,6,2,0,2,1,1,1,4.46,1035.6,969.9,,,,,,,
286,7,Agashya,2013,1,M,3,39.3,33.6,12.0,15.1,2.92,1,7,2,1,3,0,1,1,4.46,1019.0,1035.6,4.0,39.52,1.0,2.25,8.5,3.0,1.0
286,7,Agashya,2014,2,M,6,49.1,34.5,19.3,0.0,2.78,1,5,2,0,2,1,0,1,4.46,1061.7,1019.0,5.0,47.76,1.0,0.6,7.54,2.0,3.0
286,7,Agashya,2015,3,M,7,45.7,33.6,18.8,1.9,3.38,1,6,2,0,2,2,0,1,4.46,1342.4,1061.7,3.0,40.27,1.0,0.67,14.47,0.0,3.0
286,7,Agashya,2016,4,M,5,37.3,26.3,11.5,24.9,3.05,1,5,2,0,1,2,0,1,4.46,1384.6,1342.4,,,,,,,
286,7,Agashya,2017,5,M,5,44.3,41.5,13.8,0.4,4.1,1,4,2,0,1,1,0,1,4.46,1041.6,1384.6,5.0,45.12,1.2,0.8,9.56,4.0,1.0
286,7,Agashya,2018,6,M,7,56.1,32.9,28.2,0.0,3.81,1,3,2,0,1,0,0,1,4.46,1118.3,1041.6,3.0,58.37,2.0,0.67,13.17,2.0,1.0
286,7,Agashya,2019,7,M,3,50.2,26.3,17.4,6.1,2.83,1,3,2,0,1,0,0,1,4.46,1076.1,1118.3,,,,,,,
286,7,Agashya,2020,8,M,3,25.1,35.2,15.8,23.9,3.98,1,3,2,0,1,0,0,1,4.46,1029.6,1076.1,6.0,29.35,1.33,1.33,11.25,4.0,2.0
286,7,Agashya,2021,9,M,7,51.0,21.0,9.8,18.2,2.16,1,2,2,0,1,0,0,1,4.46,1072.1,1029.6,,,,,,,
286,7,Agashya,2022,10,M,3,49.7,36.0,15.5,0.0,2.81,1,2,2,0,1,0,0,1,4.46,1046.1,1072.1,,,,,,,
286,7,Agashya,2023,11,M,7,43.8,22.4,8.5,25.3,3.48,1,2,2,0,1,0,0,1,4.46,1162.7,1046.1,4.0,43.73,1.5,1.0,5.7,2.0,2.0
287,7,Agashya,2012,0,M,5,45.1,24.1,12.7,18.1,3.24,0,6,2,0,2,1,1,1,4.46,1035.6,969.9,5.0,46.78,2.0,1.8,9.48,4.0,1.0
288,7,Agashya,2014,0,F,1,44.3,35.0,11.9,8.8,3.14,0,5,2,0,2,1,0,1,4.46,1061.7,1019.0,5.0,48.26,0.6,2.4,4.46,4.0,1.0
289,7,Agashya,2014,0,F,2,54.3,37.4,15.1,0.0,2.87,0,5,2,0,2,1,0,1,4.46,1061.7,1019.0,5.0,57.82,0.6,1.2,13.26,3.0,2.0
290,7,Agashya,2016,0,F,1,36.7,23.7,14.1,25.5,3.17,1,5,2,0,1,2,0,1,4.46,1384.6,1342.4,,,,,,,
290,7,Agashya,2017,1,F,1,42.8,25.9,22.0,9.3,3.91,1,4,2,0,1,1,0,1,4.46,1041.6,1384.6,,,,,,,
290,7,Agashya,2018,2,F,1,64.8,29.8,14.1,0.0,3.25,1,3,2,0,1,0,0,1,4.46,1118.3,1041.6,,,,,,,
290,7,Agashya,2019,3,F,1,41.0,30.5,10.2,18.3,3.2,1,3,2,0,1,0,0,1,4.46,1076.1,1118.3,6.0,38.02,0.33,3.33,13.77,1.0,5.0
290,7,Agashya,2020,4,F,1,52.7,21.8,6.0,19.5,3.42,1,3,2,0,1,0,0,1,4.46,1029.6,1076.1,,,,,,,
290,7,Agashya,2021,5,F,1,42.6,23.9,14.2,19.3,3.2,1,2,2,0,1,0,0,1,4.46,1072.1,1029.6,3.0,46.87,0.33,2.33,18.07,3.0,0.0
290,7,Agashya,2022,6,F,1,44.2,25.2,16.1,14.5,2.82,1,2,2,0,1,0,0,1,4.46,1046.1,1072.1,,,,,,,
290,7,Agashya,2023,7,F,1,43.9,23.6,13.6,18.9,3.19,1,2,2,0,1,0,0,1,4.46,1162.7,1046.1,,,,,,,
291,7,Agashya,2016,0,F,1,43.2,31.8,15.7,9.3,3.07,1,5,2,0,1,2,0,1,4.46,1384.6,1342.4,3.0,45.2,1.0,1.67,12.67,2.0,1.0
291,7,Agashya,2017,1,F,1,49.7,22.5,13.6,14.2,2.73,1,4,2,0,1,1,0,1,4.46,1041.6,1384.6,6.0,51.1,0.67,1.83,4.32,3.0,3.0
291,7,Agashya,2018,2,F,1,45.0,27.0,15.9,12.1,3.4,1,3,2,0,1,0,0,1,4.46,1118.3,1041.6,4.0,50.33,0.0,2.75,5.4,4.0,0.0
291,7,Agashya,2019,3,F,1,43.4,23.3,14.0,19.3,3.05,1,3,2,0,1,0,0,1,4.46,1076.1,1118.3,3.0,42.43,0.0,3.0,10.3,1.0,2.0
291,7,Agashya,2020,4,F,1,48.3,25.7,16.7,9.3,3.33,1,3,2,0,1,0,0,1,4.46,1029.6,1076.1,6.0,50.28,0.33,2.83,14.62,2.0,4.0
291,7,Agashya,2021,5,F,1,52.9,34.0,17.4,0.0,2.8,1,2,2,0,1,0,0,1,4.46,1072.1,1029.6,4.0,51.27,1.0,3.25,6.88,0.0,4.0
291,7,Agashya,2022,6,F,1,33.0,32.4,15.7,18.9,3.1,1,2,2,0,1,0,0,1,4.46,1046.1,1072.1,6.0,30.52,0.33,2.83,1.73,1.0,5.0
291,7,Agashya,2023,7,F,1,41.4,26.0,11.1,21.5,2.77,1,2,2,0,1,0,0,1,4.46,1162.7,1046.1,3.0,44.0,0.33,3.33,11.13,3.0,0.0
292,7,Agashya,2017,0,M,6,39.9,38.4,16.8,4.9,2.98,1,4,2,0,1,1,0,1,4.46,1041.6,1384.6,6.0,40.33,1.17,1.17,5.75,2.0,4.0
292,7,Agashya,2018,1,M,5,52.4,24.5,10.4,12.7,2.95,0,3,2,0,1,0,0,1,4.46,1118.3,1041.6,,,,,,,
293,7,Agashya,2020,0,F,1,42.5,26.1,15.2,16.2,3.86,1,3,2,0,1,0,0,1,4.46,1029.6,1076.1,5.0,44.58,0.0,2.6,7.6,3.0,2.0
293,7,Agashya,2021,1,F,1,45.4,30.4,11.1,13.1,3.56,1,2,2,0,1,0,0,1,4.46,1072.1,1029.6,4.0,44.67,0.5,1.5,6.13,2.0,2.0
293,7,Agashya,2022,2,F,1,52.8,31.8,17.4,0.0,2.9,1,2,2,0,1,0,0,1,4.46,1046.1,1072.1,,,,,,,
293,7,Agashya,2023,3,F,1,52.9,24.2,13.3,9.6,2.73,1,2,2,0,1,0,0,1,4.46,1162.7,1046.1,4.0,49.1,1.25,2.0,5.63,1.0,3.0
101,3,Amahoro,2010,10,F,2,57.9,35.0,26.1,0.0,2.47,1,11,1,1,5,3,1,0,3.49,1133.2,,,,,,,,
101,3,Amahoro,2011,11,F,1,45.6,32.1,13.6,8.7,2.8,1,10,1,0,3,5,1,0,3.49,969.9,1133.2,5.0,46.1,0.2,2.6,10.18,3.0,2.0
101,3,Amahoro,2012,12,F,1,45.4,25.1,21.2,8.3,2.38,1,10,1,0,5,3,1,0,3.49,1035.6,969.9,,,,,,,
101,3,Amahoro,2013,13,F,1,43.7,31.3,12.0,13.0,2.64,1,7,1,0,2,4,0,0,3.49,1019.0,1035.6,,,,,,,
101,3,Amahoro,2014,14,F,2,50.7,23.5,17.0,8.8,2.87,1,7,1,0,3,2,1,0,3.49,1061.7,1019.0,,,,,,,
101,3,Amahoro,2015,15,F,3,32.0,23.4,12.9,31.7,3.38,1,7,1,0,3,2,1,0,3.49,1342.4,1061.7,4.0,37.6,1.5,2.0,13.35,3.0,1.0
101,3,Amahoro,2016,16,F,1,64.9,28.3,13.7,0.0,3.85,1,7,1,0,2,4,0,0,3.49,1384.6,1342.4,,,,,,,
101,3,Amahoro,2017,17,F,2,46.8,39.5,9.8,3.9,3.58,1,6,1,0,2,3,0,0,3.49,1041.6,1384.6,5.0,46.54,0.6,3.4,8.74,2.0,3.0
101,3,Amahoro,2018,18,F,1,33.2,26.0,15.5,25.3,2.92,1,5,1,0,2,1,1,0,3.49,1118.3,1041.6,,,,,,,
101,3,Amahoro,2019,19,F,1,51.4,32.0,8.5,8.1,2.91,1,5,1,0,2,2,0,0,3.49,1076.1,1118.3,,,,,,,
101,3,Amahoro,2020,20,F,1,38.6,31.8,16.7,12.9,3.31,1,4,1,0,1,2,0,0,3.49,1029.6,1076.1,5.0,38.88,0.8,2.8,12.98,3.0,2.0
101,3,Amahoro,2021,21,F,1,38.0,23.9,19.1,19.0,3.58,1,3,1,0,1,1,0,0,3.49,1072.1,1029.6,3.0,42.57,0.33,2.67,4.33,3.0,0.0
101,3,Amahoro,2022,22,F,1,49.0,23.4,18.4,9.2,2.89,1,3,1,0,1,1,0,0,3.49,1046.1,1072.1,,,,,,,
101,3,Amahoro,2023,23,F,1,37.2,40.4,18.9,3.5,2.48,1,2,1,0,1,0,0,0,3.49,1162.7,1046.1,6.0,35.83,0.5,1.83,6.1,3.0,3.0
102,3,Amahoro,2010,25,F,4,48.6,28.4,17.2,5.8,2.24,1,11,1,1,5,3,1,0,3.49,1133.2,,,,,,,,
102,3,Amahoro,2011,26,F,1,33.1,39.9,17.3,9.7,2.85,1,10,1,0,3,5,1,0,3.49,969.9,1133.2,6.0,31.13,0.17,2.5,11.33,3.0,3.0
102,3,Amahoro,2012,27,F,5,57.3,30.1,16.1,0.0,3.87,1,10,1,0,5,3,1,0,3.49,1035.6,969.9,,,,,,,
102,3,Amahoro,2013,28,F,2,42.9,39.0,17.3,0.8,3.33,1,7,1,0,2,4,0,0,3.49,1019.0,1035.6,4.0,40.95,0.75,1.5,4.13,2.0,2.0
