individual_id,group_id,group_name,year,age,sex,dominance_rank,forage_pct,rest_pct,social_pct,travel_pct,body_condition_score,group_size,n_silverbacks,multi_male_group,habitat_quality,survived_next_year,annual_rainfall_mm,lagged_rainfall_mm
9,1,Susa,2011,21,M,1,45.4,25.9,14.5,14.2,2.66,16,1,0,2.23,1,1109.2,1086.3
10,1,Susa,2011,19,F,5,46.5,24.6,11.5,17.4,3.99,16,1,0,2.23,1,1109.2,1086.3
11,1,Susa,2011,3,F,3,52.3,32.1,19.0,0.0,1.77,16,1,0,2.23,1,1109.2,1086.3
12,1,Susa,2011,13,M,1,38.0,32.4,11.2,18.4,3.46,16,1,0,2.23,1,1109.2,1086.3
13,1,Susa,2011,4,F,2,49.8,25.1,13.2,11.9,2.9,16,1,0,2.23,1,1109.2,1086.3
14,1,Susa,2011,2,F,7,52.0,33.0,15.6,0.0,3.4,16,1,0,2.23,1,1109.2,1086.3
15,1,Susa,2011,5,F,1,46.5,31.0,13.4,9.1,3.32,16,1,0,2.23,1,1109.2,1086.3
16,1,Susa,2011,6,F,4,36.4,34.0,10.6,19.0,3.95,16,1,0,2.23,1,1109.2,1086.3
17,1,Susa,2011,0,F,2,37.1,27.4,8.5,27.0,3.6,16,1,0,2.23,1,1109.2,1086.3
18,1,Susa,2011,0,F,1,47.6,32.5,21.5,0.0,3.42,16,1,0,2.23,0,1109.2,1086.3
19,1,Susa,2011,0,F,5,52.2,29.2,13.5,5.1,3.59,16,1,0,2.23,0,1109.2,1086.3
1,1,Susa,2012,5,M,7,52.0,17.1,19.3,11.6,4.38,17,1,0,2.23,1,1055.0,1109.2
2,1,Susa,2012,14,M,1,45.3,28.6,16.8,9.3,2.7,17,1,0,2.23,1,1055.0,1109.2
3,1,Susa,2012,22,M,1,70.1,30.2,8.5,0.0,3.44,17,1,0,2.23,1,1055.0,1109.2
4,1,Susa,2012,27,F,7,49.8,35.1,18.0,0.0,3.39,17,1,0,2.23,1,1055.0,1109.2
5,1,Susa,2012,22,M,1,43.5,33.3,14.9,8.3,2.74,17,1,0,2.23,1,1055.0,1109.2
6,1,Susa,2012,17,F,4,49.2,31.2,24.8,0.0,3.74,17,1,0,2.23,1,1055.0,1109.2
7,1,Susa,2012,17,F,2,47.5,29.6,15.4,7.5,3.9,17,1,0,2.23,1,1055.0,1109.2
8,1,Susa,2012,4,F,7,59.8,31.3,15.6,0.0,2.83,17,1,0,2.23,1,1055.0,1109.2
9,1,Susa,2012,22,M,1,44.8,33.3,15.9,6.0,3.91,17,1,0,2.23,1,1055.0,1109.2
10,1,Susa,2012,20,F,7,47.0,43.5,20.3,0.0,3.45,17,1,0,2.23,1,1055.0,1109.2
11,1,Susa,2012,4,F,8,54.2,28.2,13.9,3.7,3.65,17,1,0,2.23,1,1055.0,1109.2
12,1,Susa,2012,14,M,1,39.3,35.4,13.8,11.5,3.82,17,1,0,2.23,1,1055.0,1109.2
13,1,Susa,2012,5,F,2,40.5,32.6,10.4,16.5,3.08,17,1,0,2.23,1,1055.0,1109.2
14,1,Susa,2012,3,F,2,64.7,18.6,12.8,3.9,2.86,17,1,0,2.23,1,1055.0,1109.2
15,1,Susa,2012,6,F,7,32.7,31.6,20.8,14.9,2.32,17,1,0,2.23,1,1055.0,1109.2
16,1,Susa,2012,7,F,2,50.3,20.7,12.5,16.5,4.2,17,1,0,2.23,1,1055.0,1109.2
17,1,Susa,2012,1,F,9,49.6,39.8,13.5,0.0,3.15,17,1,0,2.23,1,1055.0,1109.2
20,1,Susa,2012,0,M,3,31.9,39.5,9.3,19.3,2.55,17,1,0,2.23,1,1055.0,1109.2
21,1,Susa,2012,0,F,1,48.9,35.8,15.8,0.0,2.94,17,1,0,2.23,1,1055.0,1109.2
22,1,Susa,2012,0,F,8,48.7,42.7,10.3,0.0,2.63,17,1,0,2.23,1,1055.0,1109.2
1,1,Susa,2013,6,M,7,37.1,33.8,11.3,17.8,3.11,18,1,0,2.23,1,1006.9,1055.0
2,1,Susa,2013,15,M,1,39.1,37.4,19.4,4.1,3.39,18,1,0,2.23,1,1006.9,1055.0
3,1,Susa,2013,23,M,1,40.7,21.6,15.3,22.4,3.48,18,1,0,2.23,1,1006.9,1055.0
4,1,Susa,2013,28,F,5,43.1,27.6,16.7,12.6,3.27,18,1,0,2.23,1,1006.9,1055.0
5,1,Susa,2013,23,M,1,35.1,30.1,12.3,22.5,2.47,18,1,0,2.23,1,1006.9,1055.0
6,1,Susa,2013,18,F,2,45.7,34.2,11.6,8.5,2.31,18,1,0,2.23,1,1006.9,1055.0
7,1,Susa,2013,18,F,4,47.9,38.4,7.0,6.7,3.73,18,1,0,2.23,1,1006.9,1055.0
8,1,Susa,2013,5,F,1,45.7,29.4,18.7,6.2,2.97,18,1,0,2.23,1,1006.9,1055.0
9,1,Susa,2013,23,M,1,49.5,33.6,13.0,3.9,3.02,18,1,0,2.23,1,1006.9,1055.0
10,1,Susa,2013,21,F,2,41.5,26.7,15.3,16.5,3.37,18,1,0,2.23,1,1006.9,1055.0
11,1,Susa,2013,5,F,2,44.8,34.9,20.6,0.0,3.39,18,1,0,2.23,1,1006.9,1055.0
12,1,Susa,2013,15,M,1,24.8,30.4,13.5,31.3,2.51,18,1,0,2.23,1,1006.9,1055.0
13,1,Susa,2013,6,F,2,32.3,30.2,16.0,21.5,2.56,18,1,0,2.23,1,1006.9,1055.0
14,1,Susa,2013,4,F,4,37.5,29.1,10.2,23.2,3.37,18,1,0,2.23,1,1006.9,1055.0
15,1,Susa,2013,7,F,7,43.3,38.9,15.6,2.2,2.93,18,1,0,2.23,1,1006.9,1055.0
16,1,Susa,2013,8,F,3,39.3,35.1,17.2,8.4,2.62,18,1,0,2.23,1,1006.9,1055.0
17,1,Susa,2013,2,F,4,32.7,35.5,17.0,14.8,4.19,18,1,0,2.23,1,1006.9,1055.0
20,1,Susa,2013,1,M,7,44.0,35.9,13.0,7.1,2.52,18,1,0,2.23,1,1006.9,1055.0
21,1,Susa,2013,1,F,7,52.0,34.6,14.9,0.0,3.06,18,1,0,2.23,1,1006.9,1055.0
22,1,Susa,2013,1,F,6,48.1,38.2,11.0,2.7,3.42,18,1,0,2.23,1,1006.9,1055.0
23,1,Susa,2013,0,F,5,48.3,36.5,14.5,0.7,2.91,18,1,0,2.23,1,1006.9,1055.0
24,1,Susa,2013,0,F,5,35.5,29.8,19.7,15.0,2.63,18,1,0,2.23,1,1006.9,1055.0
25,1,Susa,2013,0,F,9,53.1,31.9,17.0,0.0,3.09,18,1,0,2.23,1,1006.9,1055.0
26,1,Susa,2013,0,M,3,48.7,31.0,16.3,4.0,3.05,18,1,0,2.23,1,1006.9,1055.0
27,1,Susa,2013,0,M,7,44.9,37.9,11.2,6.0,2.03,18,1,0,2.23,1,1006.9,1055.0
1,1,Susa,2014,7,M,7,51.3,37.4,14.5,0.0,3.09,18,1,0,2.23,1,1031.1,1006.9
2,1,Susa,2014,16,M,1,25.5,31.1,15.9,27.5,2.9,18,1,0,2.23,1,1031.1,1006.9
3,1,Susa,2014,24,M,1,36.4,19.3,20.0,24.3,3.06,18,1,0,2.23,1,1031.1,1006.9
4,1,Susa,2014,29,F,2,49.9,37.9,10.0,2.2,2.78,18,1,0,2.23,1,1031.1,1006.9
5,1,Susa,2014,24,M,1,55.6,33.3,16.8,0.0,4.14,18,1,0,2.23,1,1031.1,1006.9
6,1,Susa,2014,19,F,2,38.8,27.8,11.0,22.4,2.94,18,1,0,2.23,1,1031.1,1006.9
7,1,Susa,2014,19,F,4,46.8,24.6,14.0,14.6,2.63,18,1,0,2.23,1,1031.1,1006.9
8,1,Susa,2014,6,F,2,49.6,30.9,13.1,6.4,2.87,18,1,0,2.23,1,1031.1,1006.9
9,1,Susa,2014,24,M,1,47.5,34.9,18.4,0.0,2.73,18,1,0,2.23,1,1031.1,1006.9
10,1,Susa,2014,22,F,1,47.4,20.0,10.0,22.6,3.32,18,1,0,2.23,1,1031.1,1006.9
11,1,Susa,2014,6,F,6,52.1,34.4,10.8,2.7,3.3,18,1,0,2.23,1,1031.1,1006.9
12,1,Susa,2014,16,M,1,48.2,26.1,12.9,12.8,3.32,18,1,0,2.23,1,1031.1,1006.9
13,1,Susa,2014,7,F,4,47.5,40.2,16.0,0.0,4.32,18,1,0,2.23,1,1031.1,1006.9
14,1,Susa,2014,5,F,3,53.0,31.2,10.2,5.6,2.93,18,1,0,2.23,1,1031.1,1006.9
15,1,Susa,2014,8,F,1,49.3,32.0,11.6,7.1,2.72,18,1,0,2.23,1,1031.1,1006.9
16,1,Susa,2014,9,F,2,47.1,21.6,17.9,13.4,3.74,18,1,0,2.23,1,1031.1,1006.9
17,1,Susa,2014,3,F,1,50.5,16.7,19.8,13.0,3.08,18,1,0,2.23,1,1031.1,1006.9
20,1,Susa,2014,2,M,6,38.7,33.9,14.5,12.9,3.19,18,1,0,2.23,1,1031.1,1006.9
21,1,Susa,2014,2,F,3,44.2,37.3,10.7,7.8,3.01,18,1,0,2.23,1,1031.1,1006.9
22,1,Susa,2014,2,F,4,49.7,32.0,8.2,10.1,3.76,18,1,0,2.23,1,1031.1,1006.9
23,1,Susa,2014,1,F,5,41.7,22.9,18.9,16.5,2.86,18,1,0,2.23,1,1031.1,1006.9
24,1,Susa,2014,1,F,3,46.0,25.9,22.4,5.7,3.96,18,1,0,2.23,1,1031.1,1006.9
25,1,Susa,2014,1,F,2,57.8,39.4,11.0,0.0,3.27,18,1,0,2.23,1,1031.1,1006.9
26,1,Susa,2014,1,M,6,50.6,35.7,15.4,0.0,3.78,18,1,0,2.23,1,1031.1,1006.9
27,1,Susa,2014,1,M,6,47.9,26.5,12.4,13.2,2.37,18,1,0,2.23,1,1031.1,1006.9
28,1,Susa,2014,0,F,4,46.5,33.5,22.4,0.0,2.48,18,1,0,2.23,1,1031.1,1006.9
29,1,Susa,2014,0,M,5,51.8,35.3,16.4,0.0,3.07,18,1,0,2.23,1,1031.1,1006.9
30,1,Susa,2014,0,M,5,46.1,19.4,16.3,18.2,2.94,18,1,0,2.23,1,1031.1,1006.9
1,1,Susa,2015,8,M,7,52.3,38.6,15.4,0.0,3.17,18,1,0,2.23,1,1326.7,1031.1
2,1,Susa,2015,17,M,1,42.8,24.0,14.8,18.4,3.46,18,1,0,2.23,1,1326.7,1031.1
3,1,Susa,2015,25,M,1,52.1,25.8,14.7,7.4,3.22,18,1,0,2.23,1,1326.7,1031.1
4,1,Susa,2015,30,F,9,40.8,29.9,15.4,13.9,2.47,18,1,0,2.23,1,1326.7,1031.1
5,1,Susa,2015,25,M,1,50.9,28.3,15.3,5.5,3.35,18,1,0,2.23,1,1326.7,1031.1
6,1,Susa,2015,20,F,8,52.1,24.5,10.6,12.8,3.38,18,1,0,2.23,1,1326.7,1031.1
7,1,Susa,2015,20,F,3,47.5,29.2,11.7,11.6,2.99,18,1,0,2.23,1,1326.7,1031.1
8,1,Susa,2015,7,F,1,36.9,30.4,16.7,16.0,3.37,18,1,0,2.23,1,1326.7,1031.1
9,1,Susa,2015,25,M,1,48.0,40.9,14.7,0.0,2.66,18,1,0,2.23,1,1326.7,1031.1
10,1,Susa,2015,23,F,5,48.2,24.7,14.2,12.9,3.01,18,1,0,2.23,1,1326.7,1031.1
11,1,Susa,2015,7,F,3,50.0,42.3,15.1,0.0,2.72,18,1,0,2.23,1,1326.7,1031.1
12,1,Susa,2015,17,M,1,39.8,29.6,12.5,18.1,3.34,18,1,0,2.23,1,1326.7,1031.1
13,1,Susa,2015,8,F,4,57.7,31.6,16.4,0.0,2.7,18,1,0,2.23,1,1326.7,1031.1
14,1,Susa,2015,6,F,9,57.7,32.3,22.3,0.0,4.13,18,1,0,2.23,1,1326.7,1031.1
15,1,Susa,2015,9,F,3,45.7,35.3,11.1,7.9,3.06,18,1,0,2.23,1,1326.7,1031.1
16,1,Susa,2015,10,F,9,38.5,28.8,9.6,23.1,2.9,18,1,0,2.23,1,1326.7,1031.1
17,1,Susa,2015,4,F,8,52.4,26.0,22.5,0.0,3.64,18,1,0,2.23,1,1326.7,1031.1
20,1,Susa,2015,3,M,4,48.9,24.9,12.4,13.8,3.59,18,1,0,2.23,1,1326.7,1031.1
21,1,Susa,2015,3,F,3,65.3,31.1,14.6,0.0,3.0,18,1,0,2.23,1,1326.7,1031.1
22,1,Susa,2015,3,F,5,61.5,23.6,15.1,0.0,3.85,18,1,0,2.23,1,1326.7,1031.1
23,1,Susa,2015,2,F,7,47.9,26.3,16.6,9.2,2.69,18,1,0,2.23,1,1326.7,1031.1
24,1,Susa,2015,2,F,4,49.6,32.0,15.8,2.6,2.91,18,1,0,2.23,1,1326.7,1031.1
25,1,Susa,2015,2,F,9,46.3,37.9,11.0,4.8,3.64,18,1,0,2.23,1,1326.7,1031.1
26,1,Susa,2015,2,M,6,28.0,26.4,20.2,25.4,2.96,18,1,0,2.23,1,1326.7,1031.1
27,1,Susa,2015,2,M,4,41.3,28.2,16.0,14.5,2.81,18,1,0,2.23,1,1326.7,1031.1
28,1,Susa,2015,1,F,2,39.7,17.8,18.1,24.4,3.66,18,1,0,2.23,1,1326.7,1031.1
29,1,Susa,2015,1,M,3,44.2,37.4,15.2,3.2,3.12,18,1,0,2.23,1,1326.7,1031.1
30,1,Susa,2015,1,M,4,54.6,23.3,13.4,8.7,3.37,18,1,0,2.23,1,1326.7,1031.1
31,1,Susa,2015,0,M,5,46.0,41.6,11.0,1.4,2.73,18,1,0,2.23,1,1326.7,1031.1
32,1,Susa,2015,0,M,7,56.7,26.9,14.2,2.2,3.27,18,1,0,2.23,1,1326.7,1031.1
33,1,Susa,2015,0,F,2,51.9,32.1,8.8,7.2,2.38,18,1,0,2.23,1,1326.7,1031.1
1,1,Susa,2016,9,M,5,40.7,29.5,16.3,13.5,3.76,18,1,0,2.23,1,1423.5,1326.7
2,1,Susa,2016,18,M,1,41.5,34.5,15.8,8.2,3.83,18,1,0,2.23,1,1423.5,1326.7
3,1,Susa,2016,26,M,1,37.5,36.5,12.9,13.1,4.06,18,1,0,2.23,1,1423.5,1326.7
4,1,Susa,2016,31,F,6,42.0,28.3,14.5,15.2,3.57,18,1,0,2.23,1,1423.5,1326.7
5,1,Susa,2016,26,M,1,31.4,33.2,18.0,17.4,3.18,18,1,0,2.23,1,1423.5,1326.7
6,1,Susa,2016,21,F,3,52.6,40.3,14.6,0.0,3.64,18,1,0,2.23,1,1423.5,1326.7
7,1,Susa,2016,21,F,6,32.0,27.0,16.4,24.6,4.32,18,1,0,2.23,1,1423.5,1326.7
8,1,Susa,2016,8,F,4,44.5,20.9,15.7,18.9,4.54,18,1,0,2.23,1,1423.5,1326.7
9,1,Susa,2016,26,M,1,40.9,31.4,14.7,13.0,4.11,18,1,0,2.23,1,1423.5,1326.7
10,1,Susa,2016,24,F,3,43.9,35.7,21.4,0.0,4.34,18,1,0,2.23,1,1423.5,1326.7
11,1,Susa,2016,8,F,5,56.2,36.7,13.5,0.0,3.49,18,1,0,2.23,1,1423.5,1326.7
12,1,Susa,2016,18,M,1,43.3,19.5,18.6,18.6,3.57,18,1,0,2.23,1,1423.5,1326.7
13,1,Susa,2016,9,F,5,40.1,29.8,13.3,16.8,3.32,18,1,0,2.23,1,1423.5,1326.7
14,1,Susa,2016,7,F,5,63.4,27.0,4.9,4.7,3.06,18,1,0,2.23,1,1423.5,1326.7
15,1,Susa,2016,10,F,1,43.4,30.0,19.3,7.3,3.39,18,1,0,2.23,1,1423.5,1326.7
16,1,Susa,2016,11,F,6,40.9,29.3,18.3,11.5,3.38,18,1,0,2.23,1,1423.5,1326.7
17,1,Susa,2016,5,F,1,42.4,25.2,19.3,13.1,3.69,18,1,0,2.23,1,1423.5,1326.7
20,1,Susa,2016,4,M,5,44.5,26.5,20.9,8.1,3.33,18,1,0,2.23,1,1423.5,1326.7
21,1,Susa,2016,4,F,5,51.2,39.2,18.7,0.0,3.45,18,1,0,2.23,1,1423.5,1326.7
22,1,Susa,2016,4,F,2,50.5,32.5,13.5,3.5,4.01,18,1,0,2.23,1,1423.5,1326.7
23,1,Susa,2016,3,F,1,27.8,25.7,14.2,32.3,3.11,18,1,0,2.23,1,1423.5,1326.7
24,1,Susa,2016,3,F,1,31.6,24.6,12.9,30.9,4.38,18,1,0,2.23,1,1423.5,1326.7
25,1,Susa,2016,3,F,2,54.4,19.6,15.8,10.2,4.12,18,1,0,2.23,1,1423.5,1326.7
26,1,Susa,2016,3,M,6,55.7,34.6,20.1,0.0,3.8,18,1,0,2.23,1,1423.5,1326.7
27,1,Susa,2016,3,M,4,44.7,28.8,14.5,12.0,2.75,18,1,0,2.23,1,1423.5,1326.7
28,1,Susa,2016,2,F,2,43.6,21.1,19.2,16.1,3.52,18,1,0,2.23,1,1423.5,1326.7
29,1,Susa,2016,2,M,7,37.4,23.4,13.9,25.3,4.37,18,1,0,2.23,1,1423.5,1326.7
30,1,Susa,2016,2,M,5,62.5,21.7,13.6,2.2,3.89,18,1,0,2.23,1,1423.5,1326.7
31,1,Susa,2016,1,M,4,42.8,29.6,17.3,10.3,2.48,18,1,0,2.23,1,1423.5,1326.7
32,1,Susa,2016,1,M,6,36.2,28.7,13.8,21.3,4.04,18,1,0,2.23,1,1423.5,1326.7
33,1,Susa,2016,1,F,5,26.2,32.0,16.7,25.1,4.26,18,1,0,2.23,1,1423.5,1326.7
34,1,Susa,2016,0,M,7,54.8,30.7,21.1,0.0,4.76,18,1,0,2.23,1,1423.5,1326.7
35,1,Susa,2016,0,F,1,44.6,23.1,15.0,17.3,3.45,18,1,0,2.23,0,1423.5,1326.7
1,1,Susa,2017,10,M,5,36.2,27.8,7.8,28.2,3.67,18,1,0,2.23,1,870.7,1423.5
2,1,Susa,2017,19,M,1,50.6,28.0,19.7,1.7,4.11,18,1,0,2.23,1,870.7,1423.5
3,1,Susa,2017,27,M,1,32.7,21.1,17.1,29.1,2.81,18,1,0,2.23,1,870.7,1423.5
4,1,Susa,2017,32,F,1,34.9,30.7,17.6,16.8,3.6,18,1,0,2.23,1,870.7,1423.5
5,1,Susa,2017,27,M,1,49.3,35.1,15.1,0.5,3.26,18,1,0,2.23,1,870.7,1423.5
6,1,Susa,2017,22,F,5,45.5,33.0,18.8,2.7,2.99,18,1,0,2.23,1,870.7,1423.5
7,1,Susa,2017,22,F,3,47.6,27.9,17.5,7.0,3.58,18,1,0,2.23,1,870.7,1423.5
8,1,Susa,2017,9,F,2,53.8,41.8,10.1,0.0,4.19,18,1,0,2.23,1,870.7,1423.5
9,1,Susa,2017,27,M,1,44.8,26.6,8.9,19.7,4.02,18,1,0,2.23,1,870.7,1423.5
10,1,Susa,2017,25,F,5,31.5,36.9,12.8,18.8,3.8,18,1,0,2.23,1,870.7,1423.5
11,1,Susa,2017,9,F,4,46.3,27.6,12.9,13.2,3.88,18,1,0,2.23,1,870.7,1423.5
12,1,Susa,2017,19,M,1,45.2,33.9,15.9,5.0,3.72,18,1,0,2.23,1,870.7,1423.5
13,1,Susa,2017,10,F,2,71.0,22.5,7.7,0.0,4.99,18,1,0,2.23,1,870.7,1423.5
14,1,Susa,2017,8,F,1,55.9,25.0,14.6,4.5,4.43,18,1,0,2.23,1,870.7,1423.5
15,1,Susa,2017,11,F,4,44.1,38.3,10.9,6.7,3.49,18,1,0,2.23,1,870.7,1423.5
16,1,Susa,2017,12,F,3,49.7,12.4,17.6,20.3,4.02,18,1,0,2.23,1,870.7,1423.5
17,1,Susa,2017,6,F,6,54.0,35.7,11.9,0.0,4.14,18,1,0,2.23,1,870.7,1423.5
20,1,Susa,2017,5,M,6,40.0,35.2,18.8,6.0,4.13,18,1,0,2.23,1,870.7,1423.5
21,1,Susa,2017,5,F,3,50.8,33.1,12.4,3.7,4.14,18,1,0,2.23,1,870.7,1423.5
22,1,Susa,2017,5,F,5,48.7,32.9,16.4,2.0,4.25,18,1,0,2.23,1,870.7,1423.5
23,1,Susa,2017,4,F,1,37.3,35.9,16.9,9.9,2.93,18,1,0,2.23,1,870.7,1423.5
24,1,Susa,2017,4,F,5,45.2,33.7,13.1,8.0,3.79,18,1,0,2.23,1,870.7,1423.5
25,1,Susa,2017,4,F,2,43.9,20.3,16.8,19.0,3.51,18,1,0,2.23,1,870.7,1423.5
26,1,Susa,2017,4,M,6,42.8,36.2,11.8,9.2,3.65,18,1,0,2.23,1,870.7,1423.5
27,1,Susa,2017,4,M,7,54.2,31.7,9.1,5.0,4.07,18,1,0,2.23,1,870.7,1423.5
28,1,Susa,2017,3,F,3,55.9,22.1,2.9,19.1,4.04,18,1,0,2.23,1,870.7,1423.5
29,1,Susa,2017,3,M,6,48.4,43.3,8.7,0.0,3.8,18,1,0,2.23,1,870.7,1423.5
30,1,Susa,2017,3,M,6,48.1,26.9,14.9,10.1,3.03,18,1,0,2.23,1,870.7,1423.5
31,1,Susa,2017,2,M,4,49.4,34.9,12.4,3.3,3.15,18,1,0,2.23,1,870.7,1423.5
32,1,Susa,2017,2,M,3,40.0,30.1,18.8,11.1,3.35,18,1,0,2.23,1,870.7,1423.5
33,1,Susa,2017,2,F,2,28.4,27.4,15.7,28.5,3.29,18,1,0,2.23,1,870.7,1423.5
34,1,Susa,2017,1,M,6,47.1,31.2,18.4,3.3,3.84,18,1,0,2.23,1,870.7,1423.5
36,1,Susa,2017,0,F,4,39.0,32.1,15.3,13.6,3.59,18,1,0,2.23,0,870.7,1423.5
1,1,Susa,2018,11,M,5,46.5,30.4,10.8,12.3,3.26,15,1,0,2.23,1,1109.6,870.7
2,1,Susa,2018,20,M,1,49.9,37.2,14.4,0.0,2.52,15,1,0,2.23,1,1109.6,870.7
3,1,Susa,2018,28,M,1,22.3,30.1,9.2,38.4,2.5,15,1,0,2.23,1,1109.6,870.7
4,1,Susa,2018,33,F,4,46.8,22.0,21.5,9.7,2.42,15,1,0,2.23,1,1109.6,870.7
5,1,Susa,2018,28,M,1,48.1,33.8,19.6,0.0,3.02,15,1,0,2.23,1,1109.6,870.7
6,1,Susa,2018,23,F,5,39.1,27.5,20.1,13.3,3.09,15,1,0,2.23,1,1109.6,870.7
7,1,Susa,2018,23,F,4,46.1,28.0,24.9,1.0,2.23,15,1,0,2.23,1,1109.6,870.7
8,1,Susa,2018,10,F,3,40.6,29.0,15.2,15.2,2.2,15,1,0,2.23,1,1109.6,870.7
9,1,Susa,2018,28,M,1,32.8,23.2,14.1,29.9,1.34,15,1,0,2.23,1,1109.6,870.7
10,1,Susa,2018,26,F,1,43.0,32.7,17.5,6.8,2.89,15,1,0,2.23,1,1109.6,870.7
11,1,Susa,2018,10,F,2,35.6,36.7,17.9,9.8,3.03,15,1,0,2.23,1,1109.6,870.7
12,1,Susa,2018,20,M,1,43.1,31.2,18.9,6.8,2.34,15,1,0,2.23,1,1109.6,870.7
13,1,Susa,2018,11,F,4,52.6,41.5,22.5,0.0,3.15,15,1,0,2.23,1,1109.6,870.7
14,1,Susa,2018,9,F,4,46.4,31.5,14.1,8.0,3.47,15,1,0,2.23,1,1109.6,870.7
15,1,Susa,2018,12,F,4,47.4,33.4,15.6,3.6,3.05,15,1,0,2.23,1,1109.6,870.7
16,1,Susa,2018,13,F,4,39.4,29.8,17.1,13.7,2.72,15,1,0,2.23,1,1109.6,870.7
17,1,Susa,2018,7,F,1,50.3,24.8,18.3,6.6,2.87,15,1,0,2.23,1,1109.6,870.7
20,1,Susa,2018,6,M,5,36.1,31.5,17.0,15.4,3.24,15,1,0,2.23,1,1109.6,870.7
21,1,Susa,2018,6,F,4,54.0,33.1,14.4,0.0,2.97,15,1,0,2.23,1,1109.6,870.7
22,1,Susa,2018,6,F,1,47.6,33.7,10.6,8.1,2.65,15,1,0,2.23,1,1109.6,870.7
23,1,Susa,2018,5,F,3,39.4,37.5,17.6,5.5,2.78,15,1,0,2.23,1,1109.6,870.7
24,1,Susa,2018,5,F,2,43.6,22.1,19.3,15.0,2.8,15,1,0,2.23,1,1109.6,870.7
25,1,Susa,2018,5,F,5,41.6,33.5,8.6,16.3,2.93,15,1,0,2.23,1,1109.6,870.7
26,1,Susa,2018,5,M,5,41.0,26.6,17.1,15.3,3.08,15,1,0,2.23,1,1109.6,870.7
27,1,Susa,2018,5,M,3,45.2,33.4,14.7,6.7,2.1,15,1,0,2.23,1,1109.6,870.7
28,1,Susa,2018,4,F,1,56.9,28.7,16.2,0.0,3.31,15,1,0,2.23,1,1109.6,870.7
29,1,Susa,2018,4,M,6,49.9,28.8,17.5,3.8,2.11,15,1,0,2.23,1,1109.6,870.7
30,1,Susa,2018,4,M,6,45.5,22.1,12.6,19.8,3.1,15,1,0,2.23,1,1109.6,870.7
31,1,Susa,2018,3,M,7,61.8,28.5,13.6,0.0,2.48,15,1,0,2.23,1,1109.6,870.7
